ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60628,38,09/13/2020,09/19/2020,27,1683,40,2522.3,397,13491,595,20219.1,0.1,0.1,1,116,1.5,173.9,66724,60628-38,POINT (-87.621537 41.694192)
60628,40,09/27/2020,10/03/2020,34,1743,51,2612.3,465,14358,697,21518.5,0.1,0.1,1,119,1.5,178.3,66724,60628-40,POINT (-87.621537 41.694192)
60617,25,06/14/2020,06/20/2020,32,1188,39,1439.4,599,7269,726,8807.3,0.1,0.2,1,63,1.2,76.3,82534,60617-25,POINT (-87.556897 41.721257)
60617,26,06/21/2020,06/27/2020,43,1231,52,1491.5,677,7946,820,9627.5,0.1,0.2,1,64,1.2,77.5,82534,60617-26,POINT (-87.556897 41.721257)
60617,27,06/28/2020,07/04/2020,43,1274,52,1543.6,735,8681,890,10518.1,0.1,0.1,0,64,0.0,77.5,82534,60617-27,POINT (-87.556897 41.721257)
60617,28,07/05/2020,07/11/2020,66,1340,80,1623.6,956,9637,1158,11676.4,0.1,0.1,1,65,1.2,78.8,82534,60617-28,POINT (-87.556897 41.721257)
60617,29,07/12/2020,07/18/2020,95,1435,115,1738.7,1348,10985,1633,13309.7,0.1,0.1,0,65,0.0,78.8,82534,60617-29,POINT (-87.556897 41.721257)
60631,16,04/12/2020,04/18/2020,18,99,61,335.3,201,734,681,2485.7,0.1,0.1,1,2,3.4,6.8,29529,60631-16,POINT (-87.813371 41.995019)
60631,17,04/19/2020,04/25/2020,28,127,95,430.1,177,911,599,3085.1,0.2,0.1,0,2,0.0,6.8,29529,60631-17,POINT (-87.813371 41.995019)
60631,18,04/26/2020,05/02/2020,25,152,85,514.7,184,1095,623,3708.2,0.1,0.1,0,2,0.0,6.8,29529,60631-18,POINT (-87.813371 41.995019)
60624,11,03/08/2020,03/14/2020,,,,,8,10,22,27.7,,,0,0,0.0,0.0,36158,60624-11,POINT (-87.722735 41.879417)
60624,10,03/01/2020,03/07/2020,,,,,2,2,6,5.5,,,0,0,0.0,0.0,36158,60624-10,POINT (-87.722735 41.879417)
60629,40,09/27/2020,10/03/2020,124,5553,111,4964.7,921,25993,823,23239.2,0.1,0.2,1,120,0.9,107.3,111850,60629-40,POINT (-87.711565 41.777061)
60630,19,05/03/2020,05/09/2020,101,528,176,920.8,424,2060,739,3592.4,0.2,0.3,7,24,12.2,41.9,57344,60630-19,POINT (-87.759611 41.971261)
60630,34,08/16/2020,08/22/2020,57,1108,99,1932.2,569,9533,992,16624.2,0.1,0.1,0,62,0.0,108.1,57344,60630-34,POINT (-87.759611 41.971261)
60630,36,08/30/2020,09/05/2020,56,1214,98,2117,525,10588,916,18464,0.1,0.1,0,63,0.0,109.9,57344,60630-36,POINT (-87.759611 41.971261)
60630,37,09/06/2020,09/12/2020,29,1243,51,2167.6,397,10985,692,19156.3,0.1,0.1,3,66,5.2,115.1,57344,60630-37,POINT (-87.759611 41.971261)
60630,40,09/27/2020,10/03/2020,58,1379,101,2404.8,523,12376,912,21582,0.1,0.1,1,67,1.7,116.8,57344,60630-40,POINT (-87.759611 41.971261)
60631,19,05/03/2020,05/09/2020,44,196,149,663.8,231,1326,782,4490.5,0.2,0.1,4,6,13.5,20.3,29529,60631-19,POINT (-87.813371 41.995019)
60666,11,03/08/2020,03/14/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,0,60666-11,POINT (-87.896371 41.979511)
60631,20,05/10/2020,05/16/2020,40,236,136,799.2,272,1598,921,5411.6,0.1,0.1,2,8,6.8,27.1,29529,60631-20,POINT (-87.813371 41.995019)
60631,21,05/17/2020,05/23/2020,30,266,102,900.8,358,1956,1212,6624,0.1,0.1,9,17,30.5,57.6,29529,60631-21,POINT (-87.813371 41.995019)
60707,12,03/15/2020,03/21/2020,,,,,12,15,28,34.9,,,0,0,0.0,0.0,43019,60707-12,POINT (-87.808283 41.921777)
60631,22,05/24/2020,05/30/2020,11,277,37,938.1,310,2266,1050,7673.8,0.0,0.1,3,20,10.2,67.7,29529,60631-22,POINT (-87.813371 41.995019)
60661,12,03/15/2020,03/21/2020,,,,,22,22,222,221.6,,,0,0,0.0,0.0,9926,60661-12,POINT (-87.644283 41.882786)
60601,18,04/26/2020,05/02/2020,13,56,89,381.6,70,293,477,1996.6,0.2,0.2,1,3,6.8,20.4,14675,60601-18,POINT (-87.622844 41.886262)
60618,32,08/02/2020,08/08/2020,79,1738,84,1841.2,1198,15373,1269,16285.8,0.1,0.1,0,50,0.0,53.0,94395,60618-32,POINT (-87.703343 41.946699)
60618,33,08/09/2020,08/15/2020,91,1829,96,1937.6,1166,16539,1235,17521.1,0.1,0.1,1,51,1.1,54.0,94395,60618-33,POINT (-87.703343 41.946699)
60626,11,03/08/2020,03/14/2020,,,,,5,6,10,12.1,,,0,0,0.0,0.0,49730,60626-11,POINT (-87.669834 42.009469)
60618,34,08/16/2020,08/22/2020,89,1918,94,2031.9,1151,17690,1219,18740.4,0.1,0.1,0,51,0.0,54.0,94395,60618-34,POINT (-87.703343 41.946699)
60620,10,03/01/2020,03/07/2020,,,,,3,3,4,4.4,,,0,0,0.0,0.0,68096,60620-10,POINT (-87.651656 41.740873)
60618,10,03/01/2020,03/07/2020,,,,,1,1,1,1.1,,,0,0,0.0,0.0,94395,60618-10,POINT (-87.703343 41.946699)
60602,20,05/10/2020,05/16/2020,3,11,241,884.2,15,74,1206,5948.6,0.2,0.1,0,0,0.0,0.0,1244,60602-20,POINT (-87.628309 41.883136)
60602,15,04/05/2020,04/11/2020,,,,,3,13,241,1045,,,0,0,0.0,0.0,1244,60602-15,POINT (-87.628309 41.883136)
60618,36,08/30/2020,09/05/2020,84,2071,89,2194,1024,19865,1085,21044.5,0.1,0.1,0,52,0.0,55.1,94395,60618-36,POINT (-87.703343 41.946699)
60628,39,09/20/2020,09/26/2020,26,1709,39,2561.3,402,13893,602,20821.6,0.1,0.1,2,118,3.0,176.8,66724,60628-39,POINT (-87.621537 41.694192)
60631,23,05/31/2020,06/06/2020,22,299,74,1012.6,230,2496,779,8452.7,0.1,0.1,4,24,13.5,81.3,29529,60631-23,POINT (-87.813371 41.995019)
60631,24,06/07/2020,06/13/2020,11,310,37,1049.8,263,2759,891,9343.4,0.0,0.1,1,25,3.4,84.7,29529,60631-24,POINT (-87.813371 41.995019)
60653,11,03/08/2020,03/14/2020,,,,,5,6,16,18.8,,,0,0,0.0,0.0,31972,60653-11,POINT (-87.611244 41.819261)
